X,Y,Time Stamp
X,Y,Time Stamp
284.5,250.5,2018-11-04 19:56:04
289.5,266.0,2018-11-04 19:56:04
293.0,256.0,2018-11-04 19:56:04
291.0,242.0,2018-11-04 19:56:04
318.5,271.5,2018-11-04 19:56:05
286.0,260.0,2018-11-04 19:56:05
314.0,272.0,2018-11-04 19:56:05
314.0,250.0,2018-11-04 19:56:05
315.5,252.5,2018-11-04 19:56:05
310.5,249.5,2018-11-04 19:56:05
309.5,249.5,2018-11-04 19:56:06
276.5,249.5,2018-11-04 19:56:06
275.5,258.0,2018-11-04 19:56:06
274.5,247.5,2018-11-04 19:56:06
307.5,230.5,2018-11-04 19:56:06
275.5,250.0,2018-11-04 19:56:06
309.0,237.5,2018-11-04 19:56:07
306.5,231.5,2018-11-04 19:56:07
274.0,251.5,2018-11-04 19:56:07
272.0,250.0,2018-11-04 19:56:07
305.0,252.5,2018-11-04 19:56:07
274.5,247.5,2018-11-04 19:56:07
274.0,250.0,2018-11-04 19:56:08
272.0,251.5,2018-11-04 19:56:08
272.0,250.0,2018-11-04 19:56:08
274.5,300.5,2018-11-04 19:56:08
269.0,254.5,2018-11-04 19:56:08
272.0,242.0,2018-11-04 19:56:08
301.5,230.0,2018-11-04 19:56:08
298.5,222.0,2018-11-04 19:56:09
298.5,221.5,2018-11-04 19:56:09
267.5,257.0,2018-11-04 19:56:09
299.0,217.0,2018-11-04 19:56:09
297.5,222.0,2018-11-04 19:56:09
296.0,218.0,2018-11-04 19:56:09
296.0,221.0,2018-11-04 19:56:10
297.0,227.0,2018-11-04 19:56:10
296.0,225.0,2018-11-04 19:56:10
294.0,220.0,2018-11-04 19:56:10
293.0,220.0,2018-11-04 19:56:10
297.5,265.5,2018-11-04 19:56:10
264.5,243.0,2018-11-04 19:56:11
296.0,224.0,2018-11-04 19:56:11
262.0,256.0,2018-11-04 19:56:11
292.5,161.5,2018-11-04 19:56:11
279.5,202.5,2018-11-04 19:56:11
274.0,139.5,2018-11-04 19:56:11
279.5,141.5,2018-11-04 19:56:12
277.5,195.5,2018-11-04 19:56:12
275.5,180.5,2018-11-04 19:56:12
272.0,137.5,2018-11-04 19:56:12
270.0,132.0,2018-11-04 19:56:12
270.0,132.0,2018-11-04 19:56:12
447.0,84.0,2018-11-04 19:56:12
318.0,260.0,2018-11-04 19:56:13
316.5,255.0,2018-11-04 19:56:13
318.0,260.0,2018-11-04 19:56:13
318.0,262.0,2018-11-04 19:56:13
316.5,265.0,2018-11-04 19:56:13
318.0,308.0,2018-11-04 19:56:13
316.5,302.0,2018-11-04 19:56:14
316.5,303.5,2018-11-04 19:56:14
314.5,266.0,2018-11-04 19:56:14
